,QoT Method,CC,CC+MA,ReadMe2,ReadMe2+KFMA
0,global_covid19_tweets,0.24393030562524481,0.22637810679451204,0.07662057086988262,0.06263169979946298
1,nepali_dataset_eng,0.24364735683420474,0.2464533391502059,0.14229193718967653,0.1420837814159757
2,Apple-Twitter-Sentiment-DFE,0.19966553811597595,0.1631012018361311,0.11817006597779742,0.11479650189457147
